transferType,text,year,season,player,rowId,team,owner,transferTypeId
arrival," , (,, 20 M€) - 28 Janu 2015",2014,1,Gabriel Paulista,1,Villarreal,Arsenal,1
arrival," , (,, L.) - 31 Janu 2014",2013,1,Källström,1,Spartak M.,Arsenal,1
arrival," , (,, B.L.) - 10 Janu 2015",2014,1,Afobe,1,Milton Keynes,Arsenal,1
arrival," , (,, B.L.) - 12 Dece 2014",2014,1,Coquelin,1,Charlton,Arsenal,1
arrival," , (,, 20 M€) - 01 Sept 2014",2014,1,Welbeck,1,Man U,Arsenal,1
arrival," , (,, 50 M€) - 02 Sept 2013",2013,1,Özil,1,Real Madrid,Arsenal,1
arrival," , (,, L.) - 01 Sept 2013",2013,1,Viviano,1,Palermo,Arsenal,1
arrival," , (,, B.L.) - 29 Apri 2012",2011,1,Mannone,1,Hull City,Arsenal,1
arrival," , (,, 10 M€) - 31 Janu 2013",2012,1,Monreal,1,Malaga,Arsenal,1
arrival," , (,, 0 €) - 17 Marc 2011",2010,1,Lehmann,1,,Arsenal,1
arrival," , (,, 0 €) - 16 Janu 2010",2009,1,Campbell,1,,Arsenal,1
arrival," , (,, 5 M€) - 31 Augu 2006",2006,1,Denilson,1,São Paulo,Arsenal,1
arrival," , (,, B.L.) - 28 Apri 2008",2007,1,Gibbs,1,Norwich City,Arsenal,1
arrival," , (,) - 23 Janu 2006",2005,1,Poom,1,Sunderland,Arsenal,1
arrival," , (,, 16.5 M€) - 02 Febr 2009",2008,1,Arshavin,1,Zenit,Arsenal,1
arrival," , (,, 20.23 M€) - 28 July 2014",2014,1,Chambers,1,Southampton,Arsenal,1
arrival," , (,, 3.5 M€) - 27 July 2014",2014,1,Ospina,1,Nice,Arsenal,1
arrival," , (,, 0 €) - 28 Augu 2013",2013,1,Flamini,1,,Arsenal,1
arrival," , (,, B.L.) - 01 July 2013",2013,1,Campbell,1,Real Betis,Arsenal,1
arrival," , (,, L.) - 06 Janu 2012",2011,1,Henry,1,Red Bulls,Arsenal,1
arrival," , (,, B.L.) - 31 Octo 2011",2011,1,Almunia,1,West Ham,Arsenal,1
arrival," , (,, 16 M€) - 03 Augu 2012",2012,1,Santi Cazorla,1,Malaga,Arsenal,1
arrival," , (,) - 01 July 2012",2012,1,Podolski,1,FC Köln,Arsenal,1
arrival," , (,, B.L.) - 01 July 2012",2012,1,Bendtner,1,Sunderland,Arsenal,1
arrival," , (,, B.L.) - 11 Marc 2011",2010,1,Ramsey,1,Cardiff City,Arsenal,1
arrival," , (,, 6.5 M€) - 26 Augu 2010",2010,1,Squillaci,1,Sevilla FC,Arsenal,1
arrival," , (,, B.L.) - 01 July 2009",2009,1,Traoré,1,Portsmouth,Arsenal,1
arrival," , (,, B.L.) - 01 July 2009",2009,1,Senderos,1,AC Milan,Arsenal,1
arrival," , (,, 10.5 M€) - 19 June 2009",2009,1,Vermaelen,1,Ajax,Arsenal,1
arrival," , (,, 0 €) - 31 Augu 2006",2006,1,Gallas,1,Chelsea,Arsenal,1
arrival," , (,, L.) - 31 Augu 2006",2006,1,Baptista,1,Real Madrid,Arsenal,1
arrival," , (,, B.L.) - 27 Dece 2007",2007,1,Djourou,1,Birmingham,Arsenal,1
arrival," , (,, 2.9 M€) - 31 Augu 2007",2007,1,Diarra,1,Chelsea,Arsenal,1
arrival," , (,, 9 M€) - 12 July 2007",2007,1,Sagna,1,Auxerre,Arsenal,1
arrival," , (,, 3 M€) - 13 Janu 2006",2005,1,Diaby,1,Auxerre,Arsenal,1
arrival," , (,, 10 M€) - 13 Janu 2006",2005,1,Adebayor,1,Monaco,Arsenal,1
arrival," , (,, 950 k€) - 20 Augu 2008",2008,1,Silvestre,1,Man U,Arsenal,1
arrival," , (,, 16.8 M€) - 11 July 2008",2008,1,Nasri,1,Marseille,Arsenal,1
arrival," , (,, 15 M€) - 17 July 2014",2014,1,Debuchy,1,Newcastle,Arsenal,1
arrival," , (,, 42 M€) - 10 July 2014",2014,1,Sanchez,1,FC Barcelona,Arsenal,1
arrival," , (,) - 01 July 2014",2014,1,Maitland-Niles,1,Arsenal U-19,Arsenal,1
arrival," , (,, B.L.) - 01 July 2013",2013,1,Frimpong,1,Fulham,Arsenal,1
arrival," , (,, B.L.) - 01 July 2013",2013,1,Park,1,Watford,Arsenal,1
arrival," , (,, 0 €) - 01 July 2013",2013,1,Sanogo,1,Auxerre,Arsenal,1
arrival," , (,, 12 M€) - 31 Augu 2011",2011,1,Arteta,1,Everton,Arsenal,1
arrival," , (,, L.) - 31 Augu 2011",2011,1,Benayoun,1,Chelsea,Arsenal,1
arrival," , (,, B.L.) - 01 July 2012",2012,1,Campbell,1,Lorient,Arsenal,1
arrival," , (,, B.L.) - 01 July 2012",2012,1,Vela,1,Real Sociedad,Arsenal,1
arrival," , (,, B.L.) - 01 July 2012",2012,1,Bartley,1,Rangers,Arsenal,1
arrival," , (,, 12.5 M€) - 07 July 2010",2010,1,Koscielny,1,Lorient,Arsenal,1
arrival," , (,, 0 €) - 01 July 2010",2010,1,Chamakh,1,Bordeaux,Arsenal,1
arrival," , (,, B.L.) - 01 July 2010",2010,1,Wilshere,1,Bolton,Arsenal,1
departure," ,, L.) - 29 Janu 2010",2009,1,Wilshere,1,Bolton Wanderers,,2
departure," ,, L.) - 23 Janu 2010",2009,1,Senderos,1,Everton,,2
departure," ,, L.) - 20 Nove 2009",2009,1,Szczesny,1,Brentford,,2
arrival," , (,, B.L.) - 01 July 2006",2006,1,Aliadière,1,Wolverhampton,Arsenal,1
arrival," , (,, B.L.) - 01 July 2006",2006,1,Hoyte,1,Sunderland,Arsenal,1
arrival," , (,, 10 M€) - 23 June 2006",2006,1,Rosicky,1,Dortmund,Arsenal,1
arrival," , (,, 24 M€) - 02 July 2007",2007,1,Eduardo,1,Dinamo Zagreb,Arsenal,1
arrival," , (,, B.L.) - 01 July 2007",2007,1,Song,1,Charlton,Arsenal,1
arrival," , (,, B.L.) - 31 Dece 2005",2005,1,Bentley,1,Blackburn,Arsenal,1
arrival," , (,, 4 M€) - 31 Augu 2005",2005,1,Song,1,Bastia,Arsenal,1
arrival," , (,, 15 M€) - 12 July 2005",2005,1,Hleb,1,Stuttgart,Arsenal,1
arrival," , (,, 7 M€) - 10 June 2008",2008,1,Ramsey,1,Cardiff City,Arsenal,1
arrival," , (,, B.L.) - 23 May 2008",2008,1,Vela,1,Osasuna,Arsenal,1
arrival," , (,) - 01 July 2014",2014,1,O'Connor,1,Arsenal U-19,Arsenal,1
arrival," , (,, B.L.) - 01 July 2014",2014,1,Campbell,1,Olympiacos,Arsenal,1
arrival," , (,, B.L.) - 01 June 2014",2014,1,Martinez,1,S Wednesday,Arsenal,1
arrival," , (,, B.L.) - 01 July 2013",2013,1,Chamakh,1,West Ham,Arsenal,1
arrival," , (,, B.L.) - 30 June 2013",2013,1,Bendtner,1,Juventus,Arsenal,1
arrival," , (,, B.L.) - 01 June 2013",2013,1,Miyaichi,1,Wigan,Arsenal,1
arrival," , (,, 11.3 M€) - 31 Augu 2011",2011,1,Mertesacker,1,Werder Bremen,Arsenal,1
arrival," , (,, 7 M€) - 31 Augu 2011",2011,1,André Santos,1,Fenerbahçe,Arsenal,1
arrival," , (,, 12 M€) - 26 June 2012",2012,1,Giroud,1,Montpellier,Arsenal,1
arrival," , (,, B.L.) - 01 June 2012",2012,1,Arshavin,1,Zenit,Arsenal,1
arrival," , (,, B.L.) - 17 May 2012",2012,1,Miyaichi,1,Bolton,Arsenal,1
arrival," , (,, B.L.) - 01 June 2010",2010,1,Szczesny,1,Brentford,Arsenal,1
departure," ,, L.) - 28 Janu 2011",2010,1,Vela,1,West Bromwich Albion,,2
departure," ,, L.) - 22 Janu 2011",2010,1,Ramsey,1,Cardiff,,2
departure," ,, 18 M€) - 29 July 2009",2009,1,Touré,1,Man City,,2
departure," ,, 29 M€) - 18 July 2009",2009,1,Adebayor,1,Man City,,2
departure," ,, L.) - 30 Janu 2007",2006,1,Song,1,Charlton,,2
departure," ,) - 18 Janu 2007",2006,1,Lauren,1,Portsmouth,,2
departure," ,, L.) - 31 Augu 2006",2006,1,Reyes,1,Real Madrid,,2
arrival," , (,, B.L.) - 01 July 2007",2007,1,Reyes,1,Real Madrid,Arsenal,1
arrival," , (,) - 27 May 2007",2007,1,Fabianski,1,Legia,Arsenal,1
arrival," , (,, B.L.) - 24 May 2007",2007,1,Bendtner,1,Birmingham,Arsenal,1
departure," ,, 2.5 M€) - 31 Janu 2006",2005,1,Owusu-Abeyie,1,Spartak Moscow,,2
departure," ,, B.L.) - 22 Janu 2006",2005,1,Poom,1,Sunderland,,2
departure," ,, 1.75 M€) - 01 Janu 2006",2005,1,Bentley,1,Blackburn,,2
departure," ,, L.) - 25 Augu 2008",2008,1,Senderos,1,AC Milan,,2
departure," ,, L.) - 21 Augu 2008",2008,1,Traoré,1,Portsmouth,,2
departure," ,, L.) - 20 Marc 2015",2014,1,Martinez,1,Rotherham,,2
departure," ,, L.) - 28 Janu 2015",2014,1,Campbell,1,Villarreal,,2
departure," ,) - 14 Janu 2015",2014,1,Afobe,1,Wolverhampton,,2
departure," ,) - 31 Janu 2014",2013,1,Frimpong,1,Barnsley,,2
departure," ,, L.) - 31 Janu 2014",2013,1,Park,1,Watford,,2
departure," ,, 1.2 M€) - 10 Augu 2013",2013,1,Chamakh,1,Crystal Palace,,2
arrival," , (,, 6.5 M€) - 30 Augu 2011",2011,1,Park,1,Monaco,Arsenal,1
arrival," , (,, 1 M€) - 19 Augu 2011",2011,1,Campbell,1,CD Saprissa,Arsenal,1
arrival," , (,, 13.85 M€) - 08 Augu 2011",2011,1,Oxlade-Chamberlain,1,Southampton,Arsenal,1
departure," ,, L.) - 11 Febr 2013",2012,1,André Santos,1,Grêmio,,2
departure," ,, L.) - 05 Janu 2013",2012,1,Djourou,1,Hannover 96,,2
departure," ,, L.) - 18 Octo 2010",2010,1,Mannone,1,Hull City,,2
departure," ,, L.) - 30 Augu 2010",2010,1,Traoré,1,Juventus,,2
departure," ,, 9 M€) - 21 July 2010",2010,1,Eduardo,1,Shakhtar Donetsk,,2
arrival," , (,, B.L.) - 06 Febr 2010",2009,1,Osbourne,2,Middlesbrough,Aston Villa,1
arrival," , (,, B.L.) - 24 Janu 2010",2009,1,Shorey,2,Nottingham,Aston Villa,1
arrival," , (,, B.L.) - 27 Dece 2009",2009,1,Harewood,2,Newcastle,Aston Villa,1
departure," ,) - 31 Augu 2006",2006,1,Cygan,1,Villarreal,,2
departure," ,, 7.5 M€) - 31 Augu 2006",2006,1,Cole,1,Chelsea,,2
departure," ,, 0 €) - 08 Augu 2006",2006,1,Campbell,1,Portsmouth,,2
departure," ,, 7 M€) - 16 Janu 2008",2007,1,Diarra,1,Portsmouth,,2
departure," ,, L.) - 10 Augu 2007",2007,1,Djourou,1,Birmingham,,2
departure," ,, L.) - 31 Augu 2005",2005,1,Hoyte,1,Sunderland,,2
departure," ,, 18 M€) - 15 July 2005",2005,1,Vieira,1,Juventus,,2
departure," ,, L.) - 01 July 2005",2005,1,Aliadière,1,Celtic Glasgow,,2
departure," ,, 3.2 M€) - 16 Augu 2008",2008,1,Hoyte,1,Middlesbrough,,2
departure," ,, 2.5 M€) - 17 July 2008",2008,1,Silva,1,Panathinaikos,,2
departure," ,, 17 M€) - 16 July 2008",2008,1,Hleb,1,FC Barcelona,,2
departure," ,, L.) - 13 Janu 2015",2014,1,Sanogo,1,Crystal Palace,,2
departure," ,, L.) - 05 Janu 2015",2014,1,Podolski,1,Inter,,2
departure," ,, L.) - 03 Nove 2014",2014,1,Coquelin,1,Charlton,,2
departure," ,, 8 M€) - 08 Augu 2013",2013,1,Gervinho,1,AS Roma,,2
departure," ,, L.) - 05 Augu 2013",2013,1,Miquel,1,Leicester,,2
departure," ,, L.) - 25 July 2013",2013,1,Campbell,1,Olympiacos,,2
arrival," , (,, 12 M€) - 18 July 2011",2011,1,Gervinho,1,Lille,Arsenal,1
arrival," , (,) - 01 July 2011",2011,1,Gnabry,1,Stuttgart B,Arsenal,1
departure," ,, L.) - 04 Janu 2013",2012,1,Chamakh,1,West Ham,,2
departure," ,, L.) - 31 Augu 2012",2012,1,Bendtner,1,Juventus,,2
departure," ,, L.) - 31 Augu 2012",2012,1,Park,1,Celta Vigo,,2
departure," ,, 0 €) - 01 July 2010",2010,1,Campbell,1,,,2
departure," ,, 0 €) - 01 July 2010",2010,1,Silvestre,1,,,2
departure," ,, 0 €) - 01 July 2010",2010,1,Gallas,1,,,2
