Teams in pointstable,Teams in Trasnfers Table
Accrington Stanley,Accrington Stanley
AFC Bournemouth,AFC Wimbledon
AFC Wimbledon,Aldershot Town
Aldershot Town,Arsenal
Arsenal,Aston Villa
Aston Villa,Barnet
Barnet,Barnsley
Barnsley,Birmingham City
Birmingham City,Blackburn
Blackburn Rovers,Blackpool
Blackpool,Bolton Wanderers
Bolton Wanderers,Boston United
Boston Utd,Bournemouth
Bradford City,Bradford
Brentford,Brentford
Brighton & Hove Albion,Brighton & Hove
Bristol City,Bristol City
Bristol Rovers,Bristol Rovers
Burnley,Burnley
Burton Albion,Burton Albion
Bury,Bury
Cambridge United,Cambridge United
Cardiff City,Cardiff City
Carlisle United,Carlisle United
Charlton Athletic,Charlton
Chelsea,Chelsea
Cheltenham Town,Cheltenham
Chester City,Chester City
Chesterfield,Chesterfield
Colchester United,Colchester United
Coventry City,Coventry
Crawley Town,Crawley Town
Crewe Alexandra,Crewe Alexandra
Crystal Palace,Crystal Palace
Dagenham & Redbridge,Dagenham and Redbridge
Darlington,Darlington
Derby County,Derby County
Doncaster Rovers,Doncaster Rovers
Everton,Everton
Exeter City,Exeter City
Fleetwood Town,Fleetwood Town
Fulham,Fulham
Gillingham,Gillingham
Grimsby Town,Grimsby Town
Hartlepool United,Hartlepool United
Hereford United,Hereford United
Huddersfield Town,Huddersfield Town
Hull City,Hull City
Ipswich Town,Ipswich Town
Leeds United,Leeds United
Leicester City,Leicester
Leyton Orient,Leyton Orient
Lincoln City,Lincoln City
Liverpool,Liverpool
Luton Town,Luton Town
Macclesfield Town,Macclesfield Town
Manchester City,Manchester City
Manchester United,Manchester United
Mansfield Town,Mansfield Town
Middlesbrough,Middlesbrough
Millwall,Millwall
Milton Keynes Dons,Milton Keynes
Morecambe,Morecambe
Newcastle United,Newcastle United
Newport County,Newport County
Northampton Town,Northampton Town
Norwich City,Norwich City
Nottingham Forest,Nottingham Forest
Notts County,Notts County
Oldham Athletic,Oldham Athletic
Oxford United,Oxford United
Peterborough United,Peterborough United
Plymouth Argyle,Plymouth
Port Vale,Port Vale
Portsmouth,Portsmouth
Preston North End,Preston North End
Queens Park Rangers,Queens Park Rangers
Reading,Reading
Rochdale,Rochdale
Rotherham United,Rotherham United
Rushden & Diamonds,Rushden & Diamonds
Scunthorpe United,Scunthorpe United
Sheffield United,Sheffield United
Sheffield Wednesday,Sheffield Wednesday
Shrewsbury Town,Shrewsbury Town
Southampton,Southampton
Southend United ,Southend
Stevenage,Stevenage
Stockport County,Stockport
Stoke City,Stoke City
Sunderland,Sunderland
Swansea City,Swansea
Swindon Town,Swindon Town
Torquay United,Torquay United
Tottenham Hotspur,Tottenham
Tranmere Rovers,Tranmere Rovers
Walsall,Walsall
Watford,Watford
West Bromwich Albion,West Bromwich Albion
West Ham United,West Ham
Wigan Athletic,Wigan
Wolverhampton Wanderers,Wolverhampton
Wrexham,Wrexham
Wycombe Wanderers,Wycombe Wanderers
Yeovil Town,Yeovil
York City,York City
